Index,Bacteria/Host species,Download link
Bacteria,Bartonella quintana,wget https://gmpsdb.cn/api/download/bacteria/4994/download/ -O BACTERIA_Bartonella_quintana.tar.gz
Bacteria,Beduini massiliensis,wget https://gmpsdb.cn/api/download/bacteria/4995/download/ -O BACTERIA_Beduini_massiliensis.tar.gz
Bacteria,Bifidobacterium adolescentis,wget https://gmpsdb.cn/api/download/bacteria/4996/download/ -O BACTERIA_Bifidobacterium_adolescentis.tar.gz
Bacteria,Bifidobacterium angulatum,wget https://gmpsdb.cn/api/download/bacteria/4997/download/ -O BACTERIA_Bifidobacterium_angulatum.tar.gz
Bacteria,Bifidobacterium animalis,wget https://gmpsdb.cn/api/download/bacteria/4998/download/ -O BACTERIA_Bifidobacterium_animalis.tar.gz
Bacteria,Bifidobacterium bifidum,wget https://gmpsdb.cn/api/download/bacteria/4999/download/ -O BACTERIA_Bifidobacterium_bifidum.tar.gz
Bacteria,Bifidobacterium boum,wget https://gmpsdb.cn/api/download/bacteria/5000/download/ -O BACTERIA_Bifidobacterium_boum.tar.gz
Bacteria,Bifidobacterium breve,wget https://gmpsdb.cn/api/download/bacteria/5001/download/ -O BACTERIA_Bifidobacterium_breve.tar.gz
Bacteria,Bifidobacterium catenulatum,wget https://gmpsdb.cn/api/download/bacteria/5002/download/ -O BACTERIA_Bifidobacterium_catenulatum.tar.gz
Bacteria,Bifidobacterium coryneforme,wget https://gmpsdb.cn/api/download/bacteria/5003/download/ -O BACTERIA_Bifidobacterium_coryneforme.tar.gz
Bacteria,Bifidobacterium dentium,wget https://gmpsdb.cn/api/download/bacteria/5004/download/ -O BACTERIA_Bifidobacterium_dentium.tar.gz
Bacteria,Bifidobacterium gallicum,wget https://gmpsdb.cn/api/download/bacteria/5005/download/ -O BACTERIA_Bifidobacterium_gallicum.tar.gz
Bacteria,Bifidobacterium longum,wget https://gmpsdb.cn/api/download/bacteria/5006/download/ -O BACTERIA_Bifidobacterium_longum.tar.gz
Bacteria,Bifidobacterium longum subsp. Infantis,wget https://gmpsdb.cn/api/download/bacteria/5007/download/ -O BACTERIA_Bifidobacterium_longum_subsp._Infantis.tar.gz
Bacteria,Bifidobacterium mongoliense,wget https://gmpsdb.cn/api/download/bacteria/5008/download/ -O BACTERIA_Bifidobacterium_mongoliense.tar.gz
Bacteria,Bifidobacterium pseudocatenulatum,wget https://gmpsdb.cn/api/download/bacteria/5009/download/ -O BACTERIA_Bifidobacterium_pseudocatenulatum.tar.gz
Bacteria,Bifidobacterium pseudolongum,wget https://gmpsdb.cn/api/download/bacteria/5010/download/ -O BACTERIA_Bifidobacterium_pseudolongum.tar.gz
Bacteria,Bifidobacterium ruminantium,wget https://gmpsdb.cn/api/download/bacteria/5011/download/ -O BACTERIA_Bifidobacterium_ruminantium.tar.gz
Bacteria,Bifidobacterium scardovii,wget https://gmpsdb.cn/api/download/bacteria/5012/download/ -O BACTERIA_Bifidobacterium_scardovii.tar.gz
Bacteria,Bifidobacterium thermacidophilum,wget https://gmpsdb.cn/api/download/bacteria/5013/download/ -O BACTERIA_Bifidobacterium_thermacidophilum.tar.gz
Bacteria,Bifidobacterium thermophilum,wget https://gmpsdb.cn/api/download/bacteria/5014/download/ -O BACTERIA_Bifidobacterium_thermophilum.tar.gz
Bacteria,Bilophila sp. 4_1_30,wget https://gmpsdb.cn/api/download/bacteria/5015/download/ -O BACTERIA_Bilophila_sp._4_1_30.tar.gz
